Key,Type,Mil Only,Description,Image
4bd24b,IA,,TC-TRK Boeing 747-8 Intercontinental,
4b8681,IA,,TC ANA Airbus A319-115 CJ,
4bd2b2,IA,,TC-TUR A330-200 - Not anymore 2020,
4ba674,IA,,TC-IST A319-133,
4b85cb,IA,,TC-ANK A318-112,
4BB021,IA,,TC-LAA Cessna Ciatiton V,
4BD259,IA,,TC-TRY Bombardier Challenger 850,
4b9030,IA,,TC-DAP Gulfstream G550,
4b8681,IA,,TC-ATA Gulfstream G550,
4B8C4B,IA,,TC-CBK Gulfstream G550,
4b9c30,IA,,TC-GAP Gulfstream G450,
4bb022,IA,,TC-LAB Cessna Ciatiton V,
4B8C2E,IA,,A340-542,
